author_sort,authors,comments,cover,timestamp,formats,isbn,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,id,uuid
"Lipovaca, Miran","Miran Lipovaca","","/home/venus/Calibre Library/Miran Lipovaca/Learn You a Haskell for Great Good! (11)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","2011-02-08T14:16:37-07:00","","","","1.0","11519036","","Learn You a Haskell for Great Good!","Learn You a Haskell for Great Good!","11","ebf911f5-215e-43df-99a0-bdfba54290d8"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/Plato The Republic (12)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","913735","","Plato The Republic","Plato The Republic","12","27d157eb-05e1-4f88-b417-efb27af7a3cc"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/The Alleged Fascism of Plato (13)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","1155809","","The Alleged Fascism of Plato","Alleged Fascism of Plato, The","13","9adbecf6-af8a-45fc-8121-cefa972df630"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/Taylor (14)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","1466249","Image","Taylor","Taylor","14","33425d50-b6a0-4e93-91f9-e95b253c29a4"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/Pt280526.vp (15)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","2005-12-01T14:22:02-07:00","","","","1.0","141505","","Pt280526.vp","Pt280526.vp","15","662bcd3d-cbe7-41aa-a360-0e618456bb40"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/Popper (16)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","3324889","Image","Popper","Popper","16","06793fd3-181d-443c-9cee-336757d45f39"
"Sloan, Joseph D","Joseph D Sloan","Over the years, thousands of tools have been developed for debugging TCP/IP networks. They range from very specialized tools that do one particular task, to generalized suites that do just about everything except replace bad Ethernet cables. Even better, many of them are absolutely free. There's only one problem: who has time to track them all down, sort through them for the best ones for a particular purpose, or figure out how to use them?*Network Troubleshooting Tools* does the work for you--by describing the best of the freely available tools for debugging and troubleshooting. You can start with a lesser-known version of *ping* that diagnoses connectivity problems, or take on a much more comprehensive program like MRTG for graphing traffic through network interfaces. There's *tkined* for mapping and automatically monitoring networks, and Ethereal for capturing packets and debugging low-level problems.This book isn't just about the tools available for troubleshooting common network problems. It also outlines a systematic approach to network troubleshooting: how to document your network so you know how it behaves under normal conditions, and how to think about problems when they arise, so you can solve them more effectively.The topics covered in this book include:

  * Understanding your network
  * Connectivity testing
  * Evaluating the path between two network nodes
  * Tools for capturing packets
  * Tools for network discovery and mapping
  * Tools for working with SNMP
  * Performance monitoring
  * Testing application layer protocols
  * Software sources

If you're involved with network operations, this book will save you time, money, and needless experimentation.

**

### Amazon.com Review

Hooray for Joseph Sloan, who has written *Network Troubleshooting Tools*. Sloan's book catalogs--and evaluates, with intelligent and carefully researched commentary--scores of free utilities that have been developed for monitoring, managing, and troubleshooting TCP/IP networks large and small. As such, it's a guide to the tools of the network administration trade. Without the concentrated wisdom that's found here, a network administrator might take years to stumble across all the fantastically useful utilities described in these pages, and waste all kinds of effort in the process. This book has found an excellent niche: a high-level technical book that earns its cover price by applying an author's experience and research to stuff that's freely available online, thus adding to readers' abilities to exploit the free stuff that's out there. 

The organization Sloan has chosen is interesting and efficient. Chapters deal with categories of utilities, such as packet sniffers and device mapping. Chapters begin with descriptions of the general purpose of utilities in their category and describe features (and alternate means of providing them) in general terms. Then come sections on utilities, complete with commentaries on the strengths of each and command-line dumps of the utilities in use. As utilities often are best used together, the author does a good job of showing what steps to take when that needs to be done. There's no companion CD-ROM, but the URLs that link to the utilities appear--sorted alphabetically by the programs' names, in an appendix. *--David Wall*

**Topics covered:** The free utilities--mostly for Unix variants--that the author has found to be most useful in his work as an administrator and troubleshooter of TCP/IP networks. Utilities for route tracing, packet sniffing, device detection, performance measurement, and other work are covered here. 

### About the Author

Joseph D. Sloan has been working with computers since the mid-1970s. He began using Unix as a graduate student in 1981, first as an applications programmer and later as a system programmer and system administrator. Since 1988 he has taught computer science, first at Lander University and more recently at Wofford College where he can be found using the software described in this book. 
","/home/venus/Calibre Library/Joseph D Sloan/Network Troubleshooting Tools_ Help for Network Administrators (17)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","9780596551988","amazon:B0026OR2V8,google:VADbJowCwEQC,isbn:9780596551988","eng","Calibre Library","2001-08-09T00:00:00-06:00","O'Reilly Media","4","","1.0","4208005","Computers, Networking, General, Utilities","Network Troubleshooting Tools: Help for Network Administrators","Network Troubleshooting Tools: Help for Network Administrators","17","c1bb044e-7b1a-44cc-9cdc-f81b65ec3e69"
"Vandrunen, Thomas","Thomas Vandrunen","This book provides a distinct way to teach discrete mathematics. Since discrete mathematics is crucial for rigorous study in computer science, many texts include applications of mathematical topics to computer science or have selected topics of particular interest to computer science. This text fully integrates discrete mathematics with programming and other foundational ideas in computer science. In fact, this text serves not only the purpose of teaching discrete math. It is also an introduction to programming, although a non-traditional one. Functional programming is a paradigm in which the primary language construct is the function and function here is essentially the same as what it is in mathematics. In the functional paradigm we conceive the program as a collection of composed functions, as opposed to a sequence of instructions (in the imperative paradigm) or a set of interacting objects (in the object-oriented paradigm). Dominant computer science curricula emphasize object-oriented and imperative programming, but competence in all paradigms is important for serious programmers and functional programming in particular may be appropriate for many casual programmers, too. For our purposes, the concepts underlying functional programming are especially grounded in those of discrete mathematics. Discrete mathematics and functional programming are equal partners in this endeavor, with the programming topics giving concrete applications and illustrations of the mathematical topics, and the mathematics providing the scaolding for explaining the programming concepts. The two work together in mutual illumination.

**
","/home/venus/Calibre Library/Thomas Vandrunen/Discrete Mathematics and Functional Programming (18)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","9781590282601","amazon:1590282604,google:TkGsMwEACAAJ,isbn:9781590282601","eng","Calibre Library","2012-10-16T00:00:00-06:00","Franklin, Beedle & Associates Inc.","3","","1.0","1478604","","Discrete Mathematics and Functional Programming","Discrete Mathematics and Functional Programming","18","85169ab6-9433-4395-9717-9ec0221ac5e0"
"Liu, Cricket & Albitz, Paul","Cricket Liu & Paul Albitz","","/home/venus/Calibre Library/Cricket Liu/DNS and BIND (19)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","2008-08-01T04:21:45-06:00","","","","1.0","3863574","","DNS and BIND","DNS and BIND","19","6d00eaf8-2287-47d4-93b6-f69e8e442e73"
"Oetiker, Tobias","Tobias Oetiker","","/home/venus/Calibre Library/Tobias Oetiker/The Not So Short Intro to LaTeX 2e (20)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","1749019","","The Not So Short Intro to LaTeX 2e","Not So Short Intro to LaTeX 2e, The","20","05a556d8-a233-4cf0-b5e9-af29f8bdce18"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/dmfp-soln-selected (21)/cover.jpg","2018-08-30T09:51:55-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","113930","","dmfp-soln-selected","dmfp-soln-selected","21","2a1f9722-476d-4e7f-a2eb-edeaba0460e0"
"Chio, Clarence & Freeman, David","Clarence Chio & David Freeman","Can machine learning techniques solve our computer security problems and finally put an end to the cat-and-mouse game between attackers and defenders? Or is this hope merely hype? Now you can dive into the science and answer this question for yourself! In this practical guide, machine learning and security specialists Clarence Chio and David Freeman provide a framework for discussing the marriage of these two fields, as well as a toolkit of machine-learning algorithms that you can apply to an array of security problems.","/home/venus/Calibre Library/Clarence Chio/Machine Learning and Security (22)/cover.jpg","2018-08-30T09:51:55-06:00","epub","","","eng","Calibre Library","2018-02-12T17:00:00-07:00","O'Reilly Media, Inc.","","","1.0","8516510","","Machine Learning and Security","Machine Learning and Security","22","a1b317a3-183a-4820-b61a-3ab6e77e3396"
"Müller, Andreas C. & Guido, Sarah","Andreas C. Müller & Sarah Guido","Machine learning has become an integral part of many commercial applications and research projects, but this field is not exclusive to large companies with extensive research teams. If you use Python, even as a beginner, this book will teach you practical ways to build your own machine learning solutions. With all the data available today, machine learning applications are limited only by your imagination.","/home/venus/Calibre Library/Andreas C. Muller/Introduction to Machine Learning with Python (23)/cover.jpg","2018-08-30T09:51:56-06:00","epub","","","eng","Calibre Library","2016-10-09T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","29916147","","Introduction to Machine Learning with Python","Introduction to Machine Learning with Python","23","382d7076-7a9b-46fa-ab8e-96a1dd465817"
"Patterson, Josh & Gibson, Adam","Josh Patterson & Adam Gibson","Although interest in machine learning has reached a high point, lofty expectations often scuttle projects before they get very far. How can machine learning—especially deep neural networks—make a real difference in your organization? This hands-on guide not only provides the most practical information available on the subject, but also helps you get started building efficient deep learning networks.","/home/venus/Calibre Library/Josh Patterson/Deep Learning (24)/cover.jpg","2018-08-30T09:51:56-06:00","epub","","","eng","Calibre Library","2017-08-09T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","18084090","","Deep Learning","Deep Learning","24","42cf85d5-0553-4ab2-90c9-5ddf48607a81"
"Kirk, Matthew","Matthew Kirk","Gain the confidence you need to apply machine learning in your daily work. With this practical guide, author Matthew Kirk shows you how to integrate and test machine learning algorithms in your code, without the academic subtext. Featuring graphs and highlighted code examples throughout, the book features tests with Python’s NumPy, Pandas, Scikit-Learn, and SciPy data science libraries. Ideal for software engineers and business analysts interested in data science.","/home/venus/Calibre Library/Matthew Kirk/Thoughtful Machine Learning in Python (25)/cover.jpg","2018-08-30T09:51:56-06:00","epub","","","eng","Calibre Library","2017-01-25T17:00:00-07:00","O'Reilly Media, Inc.","","","1.0","7090595","","Thoughtful Machine Learning in Python","Thoughtful Machine Learning in Python","25","bfa711fc-141b-4737-9d4a-dbdc000dca4d"
"Hunt, Craig","Craig Hunt","This complete guide to setting up and running a TCP/IP network is essential for network administrators, and invaluable for users of home systems that access the Internet. The book starts with the fundamentals -- what protocols do and how they work, how addresses and routing are used to move data through the network, how to set up your network connection -- and then covers, in detail, everything you need to know to exchange information via the Internet.Included are discussions on advanced routing protocols (RIPv2, OSPF, and BGP) and the gated software package that implements them, a tutorial on configuring important network services -- including DNS, Apache, sendmail, Samba, PPP, and DHCP -- as well as expanded chapters on troubleshooting and security. *TCP/IP Network Administration* is also a command and syntax reference for important packages such as gated, pppd, named, dhcpd, and sendmail.With coverage that includes Linux, Solaris, BSD, and System V TCP/IP implementations, the third edition contains:

  * Overview of TCP/IP
  * Delivering the data
  * Network services
  * Getting startedM
  * Basic configuration
  * Configuring the interface
  * Configuring routing
  * Configuring DNS
  * Configuring network servers
  * Configuring sendmail
  * Configuring Apache
  * Network security
  * Troubleshooting
  * Appendices include *dip*, *ppd*, and *chat* reference, a *gated* reference, a *dhcpd* reference, and a *sendmail* reference

This new edition includes ways of configuring Samba to provide file and print sharing on networks that integrate Unix and Windows, and a new chapter is dedicated to the important task of configuring the Apache web server. Coverage of network security now includes details on OpenSSH, stunnel, gpg, iptables, and the access control mechanism in xinetd. Plus, the book offers updated information about DNS, including details on BIND 8 and BIND 9, the role of classless IP addressing and network prefixes, and the changing role of registrars.Without a doubt, *TCP/IP Network Administration, 3rd Edition* is a must-have for all network administrators and anyone who deals with a network that transmits data over the Internet.

**
","/home/venus/Calibre Library/Craig Hunt/TCP_IP Network Administration (3rd Edition; O'Reilly Networking) (26)/cover.jpg","2018-08-30T09:51:56-06:00","pdf","9780596002978","amazon:0596002971,isbn:9780596002978","eng","Calibre Library","2002-04-15T00:00:00-06:00","O'Reilly Media","4","","1.0","7000429","","TCP/IP Network Administration (3rd Edition; O'Reilly Networking)","TCP/IP Network Administration (3rd Edition; O'Reilly Networking)","26","7239f0b8-9f56-4fe1-85d7-4636c31f01e1"
"Cook, Darren","Darren Cook","Machine learning has finally come of age. With H20 software, you can perform machine learning and data analysis using a simple open source framework that’s easy to use, has a wide range of OS and language support, and scales for big data. This hands-on guide teaches you how to use H20 with only minimal math and theory behind the learning algorithms. If you’re familiar with R or Python, know a bit of statistics, and have some experience manipulating data, author Darren Cook will take you through H20 basics and help you conduct machine-learning experiments on different sample data sets. You’ll explore several modern machine-learning techniques such as deep learning, random forests, unsupervised learning, and ensemble learning.","/home/venus/Calibre Library/Darren Cook/Practical Machine Learning with H2O (27)/cover.jpg","2018-08-30T09:51:56-06:00","epub","","","eng","Calibre Library","2016-11-28T17:00:00-07:00","O'Reilly Media, Inc.","","","1.0","7908985","","Practical Machine Learning with H2O","Practical Machine Learning with H2O","27","30caa4f3-9f86-4f58-8e85-eef30894c480"
"Zheng, Alice & Casari, Amanda","Alice Zheng & Amanda Casari","Feature engineering is a crucial step in the machine-learning pipeline, yet this topic is rarely examined on its own. With this practical book, you'll learn techniques for extracting and transforming features--the numeric representations of raw data--into formats for machine-learning models. Each chapter guides you through a single data problem, such as how to represent text or image data. Together, these examples illustrate the main principles of feature engineering. Rather than simply teach these principles, authors Alice Zheng and Amanda Casari focus on practical application with exercises throughout the book.","/home/venus/Calibre Library/Alice Zheng/Feature Engineering for Machine Learning (28)/cover.jpg","2018-08-30T09:51:56-06:00","epub","","","eng","Calibre Library","2018-04-09T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","14241693","","Feature Engineering for Machine Learning","Feature Engineering for Machine Learning","28","13c25c2d-498a-4c82-8070-06a6452feab3"
"Pustejovsky, James & Stubbs, Amber","James Pustejovsky & Amber Stubbs","Create your own natural language training corpus for machine learning. Whether you’re working with English, Chinese, or any other natural language, this hands-on book guides you through a proven annotation development cycle—the process of adding metadata to your training corpus to help ML algorithms work more efficiently. You don’t need any programming or linguistics experience to get started.
","/home/venus/Calibre Library/James Pustejovsky/Natural Language Annotation for Machine Learning (29)/cover.jpg","2018-08-30T09:51:56-06:00","epub","9781449307646","isbn:9781449307646","eng","Calibre Library","2012-10-10T18:00:00-06:00","O’Reilly Media","","","1.0","4049450","COMPUTERS / Natural Language Processing","Natural Language Annotation for Machine Learning","Natural Language Annotation for Machine Learning","29","f2db53bb-514a-4da2-b144-a00f6d410f93"
"Drew Conway and John Myles White","Drew Conway & John Myles White","If you’re an experienced programmer interested in crunching data, this book will get you started with machine learning—a toolkit of algorithms that enables computers to train themselves to automate useful tasks. Authors Drew Conway and John Myles White help you understand machine learning and statistics tools through a series of hands-on case studies, instead of a traditional math-heavy presentation.
","/home/venus/Calibre Library/Drew Conway/Machine Learning for Hackers (30)/cover.jpg","2018-08-30T09:51:57-06:00","epub","9781449303785","isbn:9781449303785","eng","Calibre Library","2012-02-13T00:00:00-07:00","O’Reilly Media","","","1.0","14845394","COMPUTERS / Machine Theory","Machine Learning for Hackers","Machine Learning for Hackers","30","a747e7f9-eee9-44c5-b4a1-520b3c0e26be"
"Kaehler, Adrian & Bradski, Gary","Adrian Kaehler & Gary Bradski","Get started in the rapidly expanding field of computer vision with this practical guide. Written by Adrian Kaehler and Gary Bradski, creator of the open source OpenCV library, this book provides a thorough introduction for developers, academics, roboticists, and hobbyists. You'll learn what it takes to build applications that enable computers to 'see' and make decisions based on that data. This book gives you a firm grounding in computer vision and OpenCV for building simple or sophisticated vision applications.","/home/venus/Calibre Library/Adrian Kaehler/Learning OpenCV 3 (31)/cover.jpg","2018-08-30T09:51:57-06:00","epub","","","eng","Calibre Library","2016-12-27T17:00:00-07:00","O'Reilly Media, Inc.","","","1.0","44380739","","Learning OpenCV 3","Learning OpenCV 3","31","d9e8a1a6-d166-41b2-a227-120ca71026d1"
"Hall, Patrick & Gill, Navdeep","Patrick Hall & Navdeep Gill","Innovation and competition are driving analysts and data scientists toward increasingly complex predictive modeling and machine learning algorithms. This complexity makes these models accurate but also makes their predictions difficult to understand. When accuracy outpaces interpretability, human trust suffers, affecting business adoption, regulatory oversight, and model documentation.  Banking, insurance, and healthcare in particular require predictive models that are interpretable. In this ebook, Patrick Hall and Navdeep Gill from H2O.ai thoroughly introduce the idea of machine learning interpretability and examine a set of machine learning techniques, algorithms, and models to help data scientists improve the accuracy of their predictive models while maintaining interpretability.   - Learn how machine learning and predictive modeling are applied in practice - Understand social and commercial motivations for machine learning interpretability, fairness, accountability, and transparency - Explore the differences between linear models and more accurate machine learning models  - Get a definition of interpretability and learn about the groups leading interpretability research  - Examine a taxonomy for classifying and describing interpretable machine learning approaches - Learn several practical techniques for data visualization, training interpretable machine learning models, and generating explanations for complex model predictions - Explore automated approaches for testing model interpretability","/home/venus/Calibre Library/Patrick Hall/An Introduction to Machine Learning Interpretability (32)/cover.jpg","2018-08-30T09:51:57-06:00","epub","","","eng","Calibre Library","2018-04-01T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","14958172","","An Introduction to Machine Learning Interpretability","Introduction to Machine Learning Interpretability, An","32","355cc4a6-d115-4c8a-81c2-663148742a6e"
"Morgan, Peter","Peter Morgan","We live in a time of massive market disruption. On top of the long-running computer revolution, the business world is now faced with artificial intelligence, machine learning, and deep learning—part of the emerging fourth industrial revolution. This in-depth ebook provides practical advice for organizations looking to launch a machine-learning initiative, and explores use cases for six industries involved in AI and machine learning today.  Author Peter Morgan, CEO of Data Science Partnership, takes you through three primary requirements for machine learning: sophisticated learning algorithms, dedicated hardware, and large datasets. Companies with big data strategies have already satisfied one condition, but any organization can jump into machine learning through a variety of open source and proprietary solutions. This ebook guides you through several options.","/home/venus/Calibre Library/Peter Morgan/Machine Learning Is Changing the Rules (33)/cover.jpg","2018-08-30T09:51:57-06:00","epub","","","eng","Calibre Library","2018-07-01T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","4807732","","Machine Learning Is Changing the Rules","Machine Learning Is Changing the Rules","33","fe7f1073-27da-4e36-9273-8da555927040"
"Tom Hope, Yehezkel S. Resheff & Lieder, Itay","Tom Hope, Yehezkel S. Resheff & Itay Lieder","TensorFlow is currently the leading open-source software for deep learning, used by a rapidly growing number of practitioners working on computer vision, Natural Language Processing (NLP), speech recognition, and general predictive analytics. This book is an end-to-end guide to TensorFlow designed for data scientists, engineers, students and researchers.","/home/venus/Calibre Library/Tom Hope, Yehezkel S. Resheff/Learning TensorFlow (34)/cover.jpg","2018-08-30T09:51:57-06:00","epub","","","eng","Calibre Library","2017-08-16T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","11256591","","Learning TensorFlow","Learning TensorFlow","34","d8cfe7f6-ca26-423a-a17b-51648d0f4da7"
"Osinga, Douwe","Douwe Osinga","With this hands-on cookbook, you'll discover that deep learning doesn't need to be intimidating. Aimed at readers who are new to deep learning, this cookbook enables you to solve problems quickly, using the most appropriate platform for each application. Learn how to leverage the work of Google by reusing pre-trained networks, use non-final layers to map data, and build recommender systems out of any correlation data.","/home/venus/Calibre Library/Douwe Osinga/Deep Learning Cookbook (35)/cover.jpg","2018-08-30T09:51:57-06:00","epub","","","eng","Calibre Library","2018-06-14T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","9577899","","Deep Learning Cookbook","Deep Learning Cookbook","35","8a6a11e7-84a0-4c74-a8ad-396b52a515f2"
"Burger, Scott V.","Scott V. Burger","Machine learning is an intimidating subject until you know the fundamentals. If you understand basic coding concepts, this introductory guide will help you gain a solid foundation in machine learning principles. Using the R programming language, you'll first start to learn with regression modeling and then move into more advanced topics such as neural networks and tree-based methods.","/home/venus/Calibre Library/Scott V. Burger/Introduction to Machine Learning with R (36)/cover.jpg","2018-08-30T09:51:58-06:00","epub","","","eng","Calibre Library","2018-03-25T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","4002926","","Introduction to Machine Learning with R","Introduction to Machine Learning with R","36","6f09ebda-88c7-4b66-afb6-f2ddd729206b"
"Boyce, William E.","William E. Boyce","","/home/venus/Calibre Library/William E. Boyce/Elementary Differential Equations and Boundary Value Problems, Ninth Edition Binder Ready Versio (37)/cover.jpg","2018-08-30T09:51:58-06:00","pdf","9781118409183","google:2inRtgEACAAJ,isbn:9781118409183","eng","Calibre Library","2012-03-21T00:00:00-06:00","Wiley","","","1.0","4465165","Mathematics, Differential Equations, General, Mathematical Analysis","Elementary Differential Equations and Boundary Value Problems, Ninth Edition Binder Ready Version With 2"" Binder WileyPLUS Blackbard Card Set","Elementary Differential Equations and Boundary Value Problems, Ninth Edition Binder Ready Version With 2"" Binder WileyPLUS Blackbard Card Set","37","5a271a84-d92d-4254-813f-be886028eadc"
"Ramalho, Luciano","Luciano Ramalho","","/home/venus/Calibre Library/Luciano Ramalho/Fluent Python (38)/cover.jpg","2018-08-30T09:51:58-06:00","pdf","","","","Calibre Library","2016-03-31T07:39:29-06:00","","","","1.0","11925001","","Fluent Python","Fluent Python","38","8c3b1406-7b67-4ae5-9358-2b128003c2cc"
"Buduma, Nikhil","Nikhil Buduma","With the reinvigoration of neural networks in the 2000s, deep learning has become an extremely active area of research that is paving the way for modern machine learning. This book uses exposition and examples to help you understand major concepts in this complicated field.","/home/venus/Calibre Library/Nikhil Buduma/Fundamentals of Deep Learning (39)/cover.jpg","2018-08-30T09:51:58-06:00","epub","","","eng","Calibre Library","2017-06-13T18:00:00-06:00","O'Reilly Media, Inc.","","","1.0","16001080","","Fundamentals of Deep Learning","Fundamentals of Deep Learning","39","3f0424e1-8205-4481-909c-cd068ce4bf2a"
"Reitz, Kenneth","Kenneth Reitz","*The Hitchhiker's Guide to Python* takes the journeyman Pythonista to true expertise. More than any other language, Python was created with the philosophy of simplicity and parsimony. Now 25 years old, Python has become the primary or secondary language (after SQL) for many business users. With popularity comes diversity—and possibly dilution.

This guide, collaboratively written by over a hundred members of the Python community, describes best practices currently used by package and application developers. Unlike other books for this audience, *The Hitchhiker’s Guide* is light on reusable code and heavier on design philosophy, directing the reader to excellent sources that already exist.

**

### About the Author

Kenneth Reitz is the product owner of Python at Heroku and a member of the Python Software Foundation. Kenneth focuses on software development, photography, and music production. He is well known for his many open source projects, specifically Requests: HTTP for Humans

Tanya Schlusser is currently an independent consultant who uses data to drive strategic decisions, with over two decades of experience in a half dozen languages. She is an active member of the Chicago Python User’s Group, Chicago’s PyLadies, and has delivered over 1000 hours of data science training to students and industry analysts.
","/home/venus/Calibre Library/Kenneth Reitz/The Hitchhiker's Guide to Python_ Best Practices for Development (40)/cover.jpg","2018-08-30T09:51:58-06:00","epub","","unknown:unknown,amazon:B01L9W8CVG","eng","Calibre Library","2016-08-30T00:00:00-06:00","O'Reilly Media","3","","1.0","303714","","The Hitchhiker's Guide to Python: Best Practices for Development","Hitchhiker's Guide to Python: Best Practices for Development, The","40","cd63a816-05d8-4999-b526-2f028a8ddc79"
